Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:23.627869565,2.0,1,0 days 00:01:16.687000,12.0,0,2019,Hungarian Grand Prix
BOT,0 days 00:01:23.129333333,3.0,2,0 days 00:01:14.590000,2.0,0,2019,Hungarian Grand Prix
GAS,0 days 00:01:23.079913043,2.0,1,0 days 00:01:15.450000,6.0,0,2019,Hungarian Grand Prix
GIO,0 days 00:01:24.950882352,2.0,1,0 days 00:01:16.804000,17.0,0,2019,Hungarian Grand Prix
GRO,0 days 00:01:25.038183673,2.0,2,0 days 00:01:16.013000,9.0,0,2019,Hungarian Grand Prix
HAM,0 days 00:01:21.482800,3.0,2,0 days 00:01:14.769000,3.0,1,2019,Hungarian Grand Prix
HUL,0 days 00:01:23.797130434,2.0,1,0 days 00:01:16.565000,11.0,0,2019,Hungarian Grand Prix
KUB,0 days 00:01:25.284686567,2.0,1,0 days 00:01:18.324000,19.0,0,2019,Hungarian Grand Prix
KVY,0 days 00:01:23.955647058,2.0,1,0 days 00:01:16.692000,13.0,0,2019,Hungarian Grand Prix
LEC,0 days 00:01:22.414942857,2.0,1,0 days 00:01:15.043000,4.0,0,2019,Hungarian Grand Prix
MAG,0 days 00:01:23.808101449,2.0,1,0 days 00:01:16.122000,14.0,0,2019,Hungarian Grand Prix
NOR,0 days 00:01:23.205608695,2.0,1,0 days 00:01:15.800000,7.0,0,2019,Hungarian Grand Prix
PER,0 days 00:01:23.787913043,2.0,1,0 days 00:01:17.109000,16.0,0,2019,Hungarian Grand Prix
RAI,0 days 00:01:23.118666666,2.0,1,0 days 00:01:16.041000,10.0,0,2019,Hungarian Grand Prix
RIC,0 days 00:01:23.811492753,2.0,1,0 days 00:01:17.257000,20.0,0,2019,Hungarian Grand Prix
RUS,0 days 00:01:24.760308823,2.0,1,0 days 00:01:17.031000,15.0,0,2019,Hungarian Grand Prix
SAI,0 days 00:01:23.059724637,2.0,1,0 days 00:01:15.852000,8.0,0,2019,Hungarian Grand Prix
STR,0 days 00:01:24.815750,3.0,2,0 days 00:01:17.542000,18.0,0,2019,Hungarian Grand Prix
VER,0 days 00:01:21.737028571,3.0,2,0 days 00:01:14.572000,1.0,0,2019,Hungarian Grand Prix
VET,0 days 00:01:22.360414285,2.0,1,0 days 00:01:15.071000,5.0,0,2019,Hungarian Grand Prix
