Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:38.259730769,2.0,1,0 days 00:01:30.461000,11.0,0,2019,French Grand Prix
BOT,0 days 00:01:36.023660377,2.0,1,0 days 00:01:28.605000,2.0,0,2019,French Grand Prix
GAS,0 days 00:01:37.835038461,2.0,1,0 days 00:01:30.184000,9.0,0,2019,French Grand Prix
GIO,0 days 00:01:38.590788461,3.0,2,0 days 00:01:30.408000,10.0,0,2019,French Grand Prix
GRO,0 days 00:01:38.745613636,2.0,2,0 days 00:01:31.626000,16.0,0,2019,French Grand Prix
HAM,0 days 00:01:35.682981132,2.0,1,0 days 00:01:28.319000,1.0,1,2019,French Grand Prix
HUL,0 days 00:01:37.699057692,2.0,1,0 days 00:01:30.544000,13.0,0,2019,French Grand Prix
KUB,0 days 00:01:40.090431372,2.0,1,0 days 00:01:33.205000,18.0,0,2019,French Grand Prix
KVY,0 days 00:01:38.213673076,2.0,1,0 days 00:01:31.564000,19.0,0,2019,French Grand Prix
LEC,0 days 00:01:36.041188679,2.0,1,0 days 00:01:28.965000,3.0,0,2019,French Grand Prix
MAG,0 days 00:01:38.688307692,2.0,1,0 days 00:01:31.166000,15.0,0,2019,French Grand Prix
NOR,0 days 00:01:37.734461538,2.0,1,0 days 00:01:29.418000,5.0,0,2019,French Grand Prix
PER,0 days 00:01:37.932961538,2.0,1,0 days 00:01:30.738000,14.0,0,2019,French Grand Prix
RAI,0 days 00:01:37.688288461,2.0,1,0 days 00:01:30.533000,12.0,0,2019,French Grand Prix
RIC,0 days 00:01:37.670519230,2.0,1,0 days 00:01:29.918000,8.0,0,2019,French Grand Prix
RUS,0 days 00:01:40.268313725,3.0,2,0 days 00:01:32.789000,20.0,0,2019,French Grand Prix
SAI,0 days 00:01:37.484150943,2.0,1,0 days 00:01:29.522000,6.0,0,2019,French Grand Prix
STR,0 days 00:01:37.978538461,2.0,1,0 days 00:01:31.726000,17.0,0,2019,French Grand Prix
VER,0 days 00:01:36.341566037,2.0,1,0 days 00:01:29.409000,4.0,0,2019,French Grand Prix
VET,0 days 00:01:36.867811320,3.0,2,0 days 00:01:29.506000,7.0,0,2019,French Grand Prix
