Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:21.625353846,3.0,2,0 days 00:01:14.063000,18.0,0,2023,Spanish Grand Prix
ALO,0 days 00:01:20.940409090,3.0,2,0 days 00:01:13.098000,8.0,0,2023,Spanish Grand Prix
BOT,0 days 00:01:21.967430769,3.0,2,0 days 00:01:13.977000,16.0,0,2023,Spanish Grand Prix
DEV,0 days 00:01:21.281030769,3.0,2,0 days 00:01:13.581000,14.0,0,2023,Spanish Grand Prix
GAS,0 days 00:01:21.082878787,3.0,2,0 days 00:01:12.816000,10.0,0,2023,Spanish Grand Prix
HAM,0 days 00:01:20.333787878,3.0,2,0 days 00:01:12.818000,4.0,0,2023,Spanish Grand Prix
HUL,0 days 00:01:21.465184615,4.0,3,0 days 00:01:13.229000,7.0,0,2023,Spanish Grand Prix
LEC,0 days 00:01:21.096348484,3.0,2,0 days 00:01:14.079000,19.0,0,2023,Spanish Grand Prix
MAG,0 days 00:01:21.784923076,4.0,3,0 days 00:01:14.042000,17.0,0,2023,Spanish Grand Prix
NOR,0 days 00:01:21.666615384,4.0,3,0 days 00:01:12.776000,3.0,0,2023,Spanish Grand Prix
OCO,0 days 00:01:21.017909090,3.0,2,0 days 00:01:13.001000,6.0,0,2023,Spanish Grand Prix
PER,0 days 00:01:20.511393939,3.0,2,0 days 00:01:13.334000,11.0,0,2023,Spanish Grand Prix
PIA,0 days 00:01:21.264846153,3.0,2,0 days 00:01:13.059000,9.0,0,2023,Spanish Grand Prix
RUS,0 days 00:01:20.459530303,3.0,2,0 days 00:01:13.326000,12.0,0,2023,Spanish Grand Prix
SAI,0 days 00:01:20.661181818,3.0,2,0 days 00:01:12.734000,2.0,0,2023,Spanish Grand Prix
SAR,0 days 00:01:21.994107692,3.0,2,0 days 00:01:14.699000,20.0,0,2023,Spanish Grand Prix
STR,0 days 00:01:20.928181818,3.0,2,0 days 00:01:12.994000,5.0,0,2023,Spanish Grand Prix
TSU,0 days 00:01:21.035696969,3.0,2,0 days 00:01:13.316000,15.0,0,2023,Spanish Grand Prix
VER,0 days 00:01:19.968787878,3.0,2,0 days 00:01:12.272000,1.0,1,2023,Spanish Grand Prix
ZHO,0 days 00:01:21.057848484,3.0,2,0 days 00:01:13.521000,13.0,0,2023,Spanish Grand Prix
