Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:23.585369230,3.0,2,0 days 00:01:17.411000,6.0,0,2020,Portuguese Grand Prix
BOT,0 days 00:01:22.157878787,2.0,1,0 days 00:01:16.466000,2.0,0,2020,Portuguese Grand Prix
GAS,0 days 00:01:23.290215384,2.0,1,0 days 00:01:17.209000,9.0,0,2020,Portuguese Grand Prix
GIO,0 days 00:01:24.117246153,2.0,1,0 days 00:01:18.323000,17.0,0,2020,Portuguese Grand Prix
GRO,0 days 00:01:24.130338461,2.0,1,0 days 00:01:18.364000,18.0,0,2020,Portuguese Grand Prix
HAM,0 days 00:01:21.770121212,2.0,1,0 days 00:01:16.652000,1.0,1,2020,Portuguese Grand Prix
KVY,0 days 00:01:24.815140625,3.0,2,0 days 00:01:17.728000,13.0,0,2020,Portuguese Grand Prix
LAT,0 days 00:01:24.391843750,2.0,1,0 days 00:01:18.494000,20.0,0,2020,Portuguese Grand Prix
LEC,0 days 00:01:22.759696969,2.0,1,0 days 00:01:17.090000,4.0,0,2020,Portuguese Grand Prix
MAG,0 days 00:01:24.167307692,2.0,1,0 days 00:01:18.508000,19.0,0,2020,Portuguese Grand Prix
NOR,0 days 00:01:23.806738461,3.0,2,0 days 00:01:17.321000,8.0,0,2020,Portuguese Grand Prix
OCO,0 days 00:01:23.360876923,2.0,1,0 days 00:01:17.614000,11.0,0,2020,Portuguese Grand Prix
PER,0 days 00:01:23.336707692,3.0,2,0 days 00:01:17.129000,5.0,0,2020,Portuguese Grand Prix
RAI,0 days 00:01:23.489384615,2.0,1,0 days 00:01:18.201000,16.0,0,2020,Portuguese Grand Prix
RIC,0 days 00:01:23.371553846,2.0,1,0 days 00:01:17.481000,10.0,0,2020,Portuguese Grand Prix
RUS,0 days 00:01:23.923707692,2.0,1,0 days 00:01:17.788000,14.0,0,2020,Portuguese Grand Prix
SAI,0 days 00:01:23.312000,2.0,1,0 days 00:01:17.183000,7.0,0,2020,Portuguese Grand Prix
STR,0 days 00:01:25.382254901,3.0,3,0 days 00:01:17.476000,12.0,0,2020,Portuguese Grand Prix
VER,0 days 00:01:22.292969696,2.0,1,0 days 00:01:16.879000,3.0,0,2020,Portuguese Grand Prix
VET,0 days 00:01:23.389092307,2.0,1,0 days 00:01:17.446000,15.0,0,2020,Portuguese Grand Prix
