Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:10.634971830,2.0,1,0 days 00:01:19.014000,6.0,0,2020,Styrian Grand Prix
BOT,0 days 00:01:10.202845070,2.0,1,0 days 00:01:18.657000,4.0,0,2020,Styrian Grand Prix
GAS,0 days 00:01:11.845285714,3.0,2,0 days 00:01:18.744000,7.0,0,2020,Styrian Grand Prix
GIO,0 days 00:01:11.633900,2.0,1,0 days 00:01:21.831000,19.0,0,2020,Styrian Grand Prix
HAM,0 days 00:01:10.009619718,2.0,1,0 days 00:01:17.825000,1.0,1,2020,Styrian Grand Prix
KVY,0 days 00:01:11.441914285,2.0,1,0 days 00:01:19.717000,13.0,0,2020,Styrian Grand Prix
LAT,0 days 00:01:12.142000,2.0,1,0 days 00:01:21.759000,18.0,0,2020,Styrian Grand Prix
LEC,0 days 00:01:44.275500,2.0,2,0 days 00:01:19.628000,14.0,0,2020,Styrian Grand Prix
MAG,0 days 00:01:11.558185714,2.0,1,0 days 00:01:20.211000,15.0,0,2020,Styrian Grand Prix
NOR,0 days 00:01:10.875394366,2.0,1,0 days 00:01:18.448000,9.0,0,2020,Styrian Grand Prix
OCO,0 days 00:01:14.398160,1.0,1,0 days 00:01:18.764000,5.0,0,2020,Styrian Grand Prix
PER,0 days 00:01:10.888309859,2.0,1,0 days 00:01:21.607000,17.0,0,2020,Styrian Grand Prix
RAI,0 days 00:01:11.554314285,2.0,1,0 days 00:01:21.372000,16.0,0,2020,Styrian Grand Prix
RIC,0 days 00:01:10.891183098,2.0,1,0 days 00:01:19.229000,8.0,0,2020,Styrian Grand Prix
RUS,0 days 00:01:12.070000,2.0,1,0 days 00:01:19.636000,11.0,0,2020,Styrian Grand Prix
SAI,0 days 00:01:11.281800,3.0,2,0 days 00:01:18.590000,3.0,0,2020,Styrian Grand Prix
STR,0 days 00:01:10.889239436,2.0,1,0 days 00:01:19.645000,12.0,0,2020,Styrian Grand Prix
VER,0 days 00:01:10.484239436,3.0,2,0 days 00:01:17.938000,2.0,0,2020,Styrian Grand Prix
VET,0 days 00:01:41.037000,1.0,1,0 days 00:01:19.545000,10.0,0,2020,Styrian Grand Prix
