Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:52.332545454,2.0,1,0 days 00:01:10.948000,9.0,0,2024,Monaco Grand Prix
ALO,0 days 00:01:53.150105263,2.0,1,0 days 00:01:12.019000,14.0,0,2024,Monaco Grand Prix
BOT,0 days 00:01:53.158447368,3.0,2,0 days 00:01:12.512000,17.0,0,2024,Monaco Grand Prix
GAS,0 days 00:01:52.412922077,2.0,1,0 days 00:01:10.896000,10.0,0,2024,Monaco Grand Prix
HAM,0 days 00:01:49.839610389,3.0,2,0 days 00:01:10.621000,7.0,0,2024,Monaco Grand Prix
LEC,0 days 00:01:49.320740259,2.0,1,0 days 00:01:10.270000,1.0,1,2024,Monaco Grand Prix
NOR,0 days 00:01:49.565428571,2.0,1,0 days 00:01:10.542000,4.0,0,2024,Monaco Grand Prix
PIA,0 days 00:01:49.436090909,2.0,1,0 days 00:01:10.424000,2.0,0,2024,Monaco Grand Prix
RIC,0 days 00:01:53.155500,2.0,1,0 days 00:01:11.482000,12.0,0,2024,Monaco Grand Prix
RUS,0 days 00:01:49.697363636,2.0,1,0 days 00:01:10.543000,5.0,0,2024,Monaco Grand Prix
SAI,0 days 00:01:49.486688311,2.0,1,0 days 00:01:10.518000,3.0,0,2024,Monaco Grand Prix
SAR,0 days 00:01:53.218157894,3.0,2,0 days 00:01:12.020000,15.0,0,2024,Monaco Grand Prix
STR,0 days 00:01:53.177907894,4.0,3,0 days 00:01:11.563000,13.0,0,2024,Monaco Grand Prix
TSU,0 days 00:01:52.143389610,2.0,1,0 days 00:01:10.858000,8.0,0,2024,Monaco Grand Prix
VER,0 days 00:01:49.765766233,3.0,2,0 days 00:01:10.567000,6.0,0,2024,Monaco Grand Prix
ZHO,0 days 00:01:53.826500,3.0,2,0 days 00:01:13.028000,18.0,0,2024,Monaco Grand Prix
