Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:19.483714285,4.0,3,0 days 00:01:09.113000,12.0,0,2021,São Paulo Grand Prix
BOT,0 days 00:01:18.259535211,5.0,4,0 days 00:01:08.426000,1.0,0,2021,São Paulo Grand Prix
GAS,0 days 00:01:19.243471428,5.0,4,0 days 00:01:08.777000,7.0,0,2021,São Paulo Grand Prix
GIO,0 days 00:01:20.048757142,5.0,4,0 days 00:01:09.342000,13.0,0,2021,São Paulo Grand Prix
HAM,0 days 00:01:18.068323943,5.0,4,0 days 00:01:07.934000,10.0,1,2021,São Paulo Grand Prix
LAT,0 days 00:01:20.166614285,5.0,4,0 days 00:01:09.897000,16.0,0,2021,São Paulo Grand Prix
LEC,0 days 00:01:18.765746478,5.0,4,0 days 00:01:08.859000,6.0,0,2021,São Paulo Grand Prix
MAZ,0 days 00:01:20.841579710,4.0,3,0 days 00:01:10.589000,19.0,0,2021,São Paulo Grand Prix
MSC,0 days 00:01:21.382971014,6.0,5,0 days 00:01:09.958000,18.0,0,2021,São Paulo Grand Prix
NOR,0 days 00:01:19.526528571,6.0,5,0 days 00:01:08.980000,5.0,0,2021,São Paulo Grand Prix
OCO,0 days 00:01:19.476700,4.0,3,0 days 00:01:09.189000,8.0,0,2021,São Paulo Grand Prix
PER,0 days 00:01:18.630859154,6.0,5,0 days 00:01:08.483000,4.0,0,2021,São Paulo Grand Prix
RAI,0 days 00:01:19.627700,5.0,4,0 days 00:01:09.503000,0.0,0,2021,São Paulo Grand Prix
RIC,0 days 00:01:21.377836734,4.0,4,0 days 00:01:09.039000,11.0,0,2021,São Paulo Grand Prix
RUS,0 days 00:01:20.013414285,5.0,4,0 days 00:01:09.953000,17.0,0,2021,São Paulo Grand Prix
SAI,0 days 00:01:18.798183098,5.0,4,0 days 00:01:08.826000,3.0,0,2021,São Paulo Grand Prix
STR,0 days 00:01:22.164489361,4.0,4,0 days 00:01:09.663000,14.0,0,2021,São Paulo Grand Prix
TSU,0 days 00:01:20.109314285,6.0,5,0 days 00:01:09.350000,15.0,0,2021,São Paulo Grand Prix
VER,0 days 00:01:18.216154929,5.0,4,0 days 00:01:08.372000,2.0,0,2021,São Paulo Grand Prix
VET,0 days 00:01:19.544928571,5.0,4,0 days 00:01:09.399000,9.0,0,2021,São Paulo Grand Prix
