Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:27.576608695,4.0,3,0 days 00:01:19.256000,17.0,0,2022,Hungarian Grand Prix
ALO,0 days 00:01:26.726463768,2.0,1,0 days 00:01:17.904000,6.0,0,2022,Hungarian Grand Prix
BOT,0 days 00:01:26.480707692,2.0,1,0 days 00:01:18.157000,8.0,0,2022,Hungarian Grand Prix
GAS,0 days 00:01:27.068144927,3.0,2,0 days 00:01:19.116000,0.0,0,2022,Hungarian Grand Prix
HAM,0 days 00:01:25.482085714,3.0,2,0 days 00:01:18.035000,7.0,0,2022,Hungarian Grand Prix
LAT,0 days 00:01:27.752304347,4.0,3,0 days 00:01:19.570000,19.0,0,2022,Hungarian Grand Prix
LEC,0 days 00:01:25.599414285,4.0,3,0 days 00:01:17.567000,3.0,0,2022,Hungarian Grand Prix
MAG,0 days 00:01:27.564289855,4.0,3,0 days 00:01:18.825000,13.0,0,2022,Hungarian Grand Prix
MSC,0 days 00:01:27.150927536,3.0,2,0 days 00:01:19.164000,15.0,0,2022,Hungarian Grand Prix
NOR,0 days 00:01:26.488742857,3.0,2,0 days 00:01:17.769000,4.0,0,2022,Hungarian Grand Prix
OCO,0 days 00:01:26.768115942,2.0,1,0 days 00:01:18.018000,5.0,0,2022,Hungarian Grand Prix
PER,0 days 00:01:25.594285714,3.0,2,0 days 00:01:18.516000,11.0,0,2022,Hungarian Grand Prix
RIC,0 days 00:01:27.135492753,3.0,2,0 days 00:01:18.198000,9.0,0,2022,Hungarian Grand Prix
RUS,0 days 00:01:25.546414285,3.0,2,0 days 00:01:17.377000,1.0,0,2022,Hungarian Grand Prix
SAI,0 days 00:01:25.578442857,3.0,2,0 days 00:01:17.421000,2.0,0,2022,Hungarian Grand Prix
STR,0 days 00:01:26.880492753,3.0,2,0 days 00:01:19.137000,14.0,0,2022,Hungarian Grand Prix
TSU,0 days 00:01:28.657955882,4.0,3,0 days 00:01:19.240000,16.0,0,2022,Hungarian Grand Prix
VER,0 days 00:01:25.370171428,3.0,2,0 days 00:01:17.703000,10.0,1,2022,Hungarian Grand Prix
VET,0 days 00:01:26.770188405,3.0,2,0 days 00:01:19.273000,18.0,0,2022,Hungarian Grand Prix
ZHO,0 days 00:01:27.146768115,3.0,2,0 days 00:01:18.573000,12.0,0,2022,Hungarian Grand Prix
