Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:52.039673913,5.0,4,0 days 00:01:42.195000,8.0,0,2021,Azerbaijan Grand Prix
BOT,0 days 00:01:49.623500,4.0,3,0 days 00:01:42.106000,10.0,0,2021,Azerbaijan Grand Prix
GAS,0 days 00:01:48.983136363,4.0,3,0 days 00:01:41.565000,4.0,0,2021,Azerbaijan Grand Prix
HAM,0 days 00:01:48.564045454,4.0,3,0 days 00:01:41.450000,2.0,0,2021,Azerbaijan Grand Prix
LAT,0 days 00:01:52.040521739,3.0,2,0 days 00:01:43.128000,16.0,0,2021,Azerbaijan Grand Prix
LEC,0 days 00:01:49.101909090,4.0,3,0 days 00:01:41.218000,1.0,0,2021,Azerbaijan Grand Prix
MAZ,0 days 00:01:53.933444444,7.0,6,0 days 00:01:44.238000,18.0,0,2021,Azerbaijan Grand Prix
MSC,0 days 00:01:52.256444444,6.0,5,0 days 00:01:44.158000,17.0,0,2021,Azerbaijan Grand Prix
NOR,0 days 00:01:49.607204545,4.0,3,0 days 00:01:41.747000,9.0,0,2021,Azerbaijan Grand Prix
OCO,0 days 00:02:00.568333333,1.0,1,0 days 00:01:42.273000,12.0,0,2021,Azerbaijan Grand Prix
PER,0 days 00:01:48.295477272,4.0,3,0 days 00:01:41.630000,6.0,1,2021,Azerbaijan Grand Prix
RAI,0 days 00:01:52.148326086,4.0,3,0 days 00:01:42.587000,14.0,0,2021,Azerbaijan Grand Prix
RIC,0 days 00:01:50.863422222,4.0,3,0 days 00:01:42.304000,13.0,0,2021,Azerbaijan Grand Prix
RUS,0 days 00:01:51.728590909,4.0,4,0 days 00:01:42.728000,15.0,0,2021,Azerbaijan Grand Prix
SAI,0 days 00:01:50.067272727,4.0,3,0 days 00:01:41.576000,5.0,0,2021,Azerbaijan Grand Prix
TSU,0 days 00:01:49.307022727,4.0,3,0 days 00:01:41.654000,7.0,0,2021,Azerbaijan Grand Prix
VER,0 days 00:01:47.443170731,2.0,1,0 days 00:01:41.563000,3.0,0,2021,Azerbaijan Grand Prix
VET,0 days 00:01:49.016613636,4.0,3,0 days 00:01:42.224000,11.0,0,2021,Azerbaijan Grand Prix
