Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:23.803661971,4.0,3,0 days 00:01:11.631000,19.0,0,2022,São Paulo Grand Prix
ALO,0 days 00:01:23.431056338,4.0,3,0 days 00:01:11.394000,17.0,0,2022,São Paulo Grand Prix
BOT,0 days 00:01:23.614028169,3.0,2,0 days 00:01:15.486000,14.0,0,2022,São Paulo Grand Prix
GAS,0 days 00:01:23.674802816,4.0,3,0 days 00:01:11.675000,10.0,0,2022,São Paulo Grand Prix
HAM,0 days 00:01:23.317929577,3.0,2,0 days 00:01:11.539000,2.0,0,2022,São Paulo Grand Prix
LAT,0 days 00:01:23.818056338,4.0,3,0 days 00:01:15.095000,18.0,0,2022,São Paulo Grand Prix
LEC,0 days 00:01:23.415281690,4.0,3,0 days 00:01:10.950000,5.0,0,2022,São Paulo Grand Prix
MSC,0 days 00:01:23.717507042,3.0,2,0 days 00:01:16.361000,12.0,0,2022,São Paulo Grand Prix
NOR,0 days 00:01:22.711640,3.0,2,0 days 00:01:11.377000,6.0,0,2022,São Paulo Grand Prix
OCO,0 days 00:01:23.559633802,3.0,2,0 days 00:01:11.587000,16.0,0,2022,São Paulo Grand Prix
PER,0 days 00:01:23.494704225,3.0,2,0 days 00:01:11.456000,4.0,0,2022,São Paulo Grand Prix
RUS,0 days 00:01:23.296394366,3.0,2,0 days 00:01:11.318000,1.0,1,2022,São Paulo Grand Prix
SAI,0 days 00:01:23.353450704,4.0,3,0 days 00:01:10.890000,7.0,0,2022,São Paulo Grand Prix
STR,0 days 00:01:23.628112676,3.0,2,0 days 00:01:12.210000,15.0,0,2022,São Paulo Grand Prix
TSU,0 days 00:01:24.947785714,4.0,3,0 days 00:01:16.264000,0.0,0,2022,São Paulo Grand Prix
VER,0 days 00:01:23.438028169,4.0,3,0 days 00:01:10.881000,3.0,0,2022,São Paulo Grand Prix
VET,0 days 00:01:23.665169014,3.0,2,0 days 00:01:11.678000,9.0,0,2022,São Paulo Grand Prix
ZHO,0 days 00:01:23.709422535,3.0,2,0 days 00:01:15.197000,13.0,0,2022,São Paulo Grand Prix
