Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:41.749266666,1.0,1,0 days 00:01:17.168000,13.0,0,2024,Mexico City Grand Prix
BOT,0 days 00:01:27.114671428,2.0,1,0 days 00:01:17.393000,15.0,0,2024,Mexico City Grand Prix
COL,0 days 00:01:26.904242857,2.0,1,0 days 00:01:17.558000,16.0,0,2024,Mexico City Grand Prix
GAS,0 days 00:01:26.776957142,2.0,1,0 days 00:01:16.892000,8.0,0,2024,Mexico City Grand Prix
HAM,0 days 00:01:25.923661971,2.0,1,0 days 00:01:16.651000,6.0,0,2024,Mexico City Grand Prix
HUL,0 days 00:01:26.550285714,2.0,1,0 days 00:01:16.995000,10.0,0,2024,Mexico City Grand Prix
LAW,0 days 00:01:27.432371428,3.0,2,0 days 00:01:17.162000,12.0,0,2024,Mexico City Grand Prix
LEC,0 days 00:01:25.777281690,3.0,2,0 days 00:01:16.265000,4.0,0,2024,Mexico City Grand Prix
MAG,0 days 00:01:26.189323943,2.0,1,0 days 00:01:16.886000,7.0,0,2024,Mexico City Grand Prix
NOR,0 days 00:01:25.359225352,2.0,1,0 days 00:01:16.260000,3.0,0,2024,Mexico City Grand Prix
OCO,0 days 00:01:27.078042857,2.0,1,0 days 00:01:17.617000,0.0,0,2024,Mexico City Grand Prix
PER,0 days 00:01:27.558342857,4.0,3,0 days 00:01:17.611000,18.0,0,2024,Mexico City Grand Prix
PIA,0 days 00:01:26.207436619,2.0,1,0 days 00:01:17.597000,17.0,0,2024,Mexico City Grand Prix
RUS,0 days 00:01:25.976563380,2.0,1,0 days 00:01:16.356000,5.0,0,2024,Mexico City Grand Prix
SAI,0 days 00:01:25.292957746,2.0,1,0 days 00:01:15.946000,1.0,1,2024,Mexico City Grand Prix
STR,0 days 00:01:26.869600,2.0,1,0 days 00:01:17.294000,14.0,0,2024,Mexico City Grand Prix
VER,0 days 00:01:26.131802816,2.0,1,0 days 00:01:16.171000,2.0,0,2024,Mexico City Grand Prix
ZHO,0 days 00:01:27.393171428,2.0,1,0 days 00:01:18.072000,19.0,0,2024,Mexico City Grand Prix
