Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:25.779101449,3.0,2,0 days 00:01:16.429000,13.0,0,2024,Hungarian Grand Prix
ALO,0 days 00:01:25.206414285,3.0,2,0 days 00:01:16.043000,7.0,0,2024,Hungarian Grand Prix
BOT,0 days 00:01:25.904318840,3.0,2,0 days 00:01:16.384000,12.0,0,2024,Hungarian Grand Prix
GAS,0 days 00:01:26.644090909,2.0,2,0 days 00:01:18.166000,20.0,0,2024,Hungarian Grand Prix
HAM,0 days 00:01:24.240985714,3.0,2,0 days 00:01:15.854000,5.0,0,2024,Hungarian Grand Prix
HUL,0 days 00:01:25.727144927,3.0,2,0 days 00:01:16.317000,11.0,0,2024,Hungarian Grand Prix
LEC,0 days 00:01:24.309642857,3.0,2,0 days 00:01:15.891000,6.0,0,2024,Hungarian Grand Prix
MAG,0 days 00:01:25.902768115,3.0,2,0 days 00:01:16.548000,15.0,0,2024,Hungarian Grand Prix
NOR,0 days 00:01:24.059000,3.0,2,0 days 00:01:15.227000,1.0,0,2024,Hungarian Grand Prix
OCO,0 days 00:01:26.129246376,4.0,3,0 days 00:01:18.049000,19.0,0,2024,Hungarian Grand Prix
PER,0 days 00:01:24.596871428,3.0,2,0 days 00:01:17.886000,16.0,0,2024,Hungarian Grand Prix
PIA,0 days 00:01:24.028414285,3.0,2,0 days 00:01:15.249000,2.0,1,2024,Hungarian Grand Prix
RIC,0 days 00:01:25.505985507,3.0,2,0 days 00:01:16.202000,9.0,0,2024,Hungarian Grand Prix
RUS,0 days 00:01:24.633671428,3.0,2,0 days 00:01:17.968000,17.0,0,2024,Hungarian Grand Prix
SAI,0 days 00:01:24.358028571,3.0,2,0 days 00:01:15.696000,4.0,0,2024,Hungarian Grand Prix
SAR,0 days 00:01:26.008405797,4.0,3,0 days 00:01:16.543000,14.0,0,2024,Hungarian Grand Prix
STR,0 days 00:01:25.142357142,3.0,2,0 days 00:01:16.075000,8.0,0,2024,Hungarian Grand Prix
TSU,0 days 00:01:25.132114285,2.0,1,0 days 00:01:16.121000,10.0,0,2024,Hungarian Grand Prix
VER,0 days 00:01:24.333400,3.0,2,0 days 00:01:15.273000,3.0,0,2024,Hungarian Grand Prix
ZHO,0 days 00:01:26.167927536,3.0,2,0 days 00:01:18.037000,18.0,0,2024,Hungarian Grand Prix
