Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:29.482089552,3.0,2.0,0 days 00:01:25.035000,9.0,0,2024,São Paulo Grand Prix
BEA,0 days 00:01:29.372194029,3.0,2.0,0 days 00:01:31.229000,15.0,0,2024,São Paulo Grand Prix
BOT,0 days 00:01:29.533074626,2.0,1.0,0 days 00:01:26.472000,11.0,0,2024,São Paulo Grand Prix
COL,0 days 00:01:30.275366666,2.0,2.0,0 days 00:01:31.270000,16.0,0,2024,São Paulo Grand Prix
GAS,0 days 00:01:28.442597014,2.0,1.0,0 days 00:01:29.420000,13.0,0,2024,São Paulo Grand Prix
HAM,0 days 00:01:29.130164179,3.0,2.0,0 days 00:01:31.150000,14.0,0,2024,São Paulo Grand Prix
HUL,0 days 00:01:28.307925925,4.0,4.0,0 days 00:01:31.623000,18.0,0,2024,São Paulo Grand Prix
LAW,0 days 00:01:29.129910447,3.0,2.0,0 days 00:01:24.484000,5.0,0,2024,São Paulo Grand Prix
LEC,0 days 00:01:28.651791044,3.0,2.0,0 days 00:01:24.525000,6.0,0,2024,São Paulo Grand Prix
NOR,0 days 00:01:28.599283582,3.0,2.0,0 days 00:01:23.405000,1.0,0,2024,São Paulo Grand Prix
OCO,0 days 00:01:28.326164179,2.0,1.0,0 days 00:01:24.475000,4.0,0,2024,São Paulo Grand Prix
PER,0 days 00:01:29.382447761,3.0,2.0,0 days 00:01:28.158000,12.0,0,2024,São Paulo Grand Prix
PIA,0 days 00:01:28.761955223,3.0,2.0,0 days 00:01:24.686000,8.0,0,2024,São Paulo Grand Prix
RUS,0 days 00:01:28.507522388,3.0,2.0,0 days 00:01:23.578000,2.0,0,2024,São Paulo Grand Prix
SAI,0 days 00:01:30.714388888,3.0,2.0,0 days 00:01:29.406000,20.0,0,2024,São Paulo Grand Prix
TSU,0 days 00:01:28.801492537,3.0,2.0,0 days 00:01:24.111000,3.0,0,2024,São Paulo Grand Prix
VER,0 days 00:01:28.050611940,2.0,1.0,0 days 00:01:27.771000,17.0,1,2024,São Paulo Grand Prix
ZHO,0 days 00:01:30.416363636,5.0,4.0,0 days 00:01:32.263000,19.0,0,2024,São Paulo Grand Prix
