Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:45.336782608,3.0,3,0 days 00:01:30.537000,13.0,0,2023,Japanese Grand Prix
ALO,0 days 00:01:40.684940,3.0,2,0 days 00:01:30.465000,10.0,0,2023,Japanese Grand Prix
BOT,0 days 00:02:16.214000,3.0,3,0 days 00:01:31.049000,16.0,0,2023,Japanese Grand Prix
GAS,0 days 00:01:41.037680,3.0,2,0 days 00:01:30.509000,12.0,0,2023,Japanese Grand Prix
HAM,0 days 00:01:40.208780,3.0,2,0 days 00:01:29.908000,7.0,0,2023,Japanese Grand Prix
HUL,0 days 00:01:41.597306122,4.0,3,0 days 00:01:31.299000,18.0,0,2023,Japanese Grand Prix
LAW,0 days 00:01:41.392979591,3.0,2,0 days 00:01:30.425000,11.0,0,2023,Japanese Grand Prix
LEC,0 days 00:01:40.036760,3.0,2,0 days 00:01:29.542000,4.0,0,2023,Japanese Grand Prix
MAG,0 days 00:01:42.016163265,3.0,2,0 days 00:01:30.665000,15.0,0,2023,Japanese Grand Prix
NOR,0 days 00:01:39.495700,3.0,2,0 days 00:01:29.493000,3.0,0,2023,Japanese Grand Prix
OCO,0 days 00:01:42.175960784,3.0,2,0 days 00:01:30.586000,14.0,0,2023,Japanese Grand Prix
PER,0 days 00:01:48.709200,5.0,5,0 days 00:01:29.650000,5.0,0,2023,Japanese Grand Prix
PIA,0 days 00:01:39.857900,3.0,2,0 days 00:01:29.458000,2.0,0,2023,Japanese Grand Prix
RUS,0 days 00:01:40.415620,2.0,1,0 days 00:01:30.219000,8.0,0,2023,Japanese Grand Prix
SAI,0 days 00:01:40.174460,3.0,2,0 days 00:01:29.850000,6.0,0,2023,Japanese Grand Prix
STR,0 days 00:01:44.807529411,2.0,2,0 days 00:01:31.181000,17.0,0,2023,Japanese Grand Prix
TSU,0 days 00:01:41.432571428,3.0,2,0 days 00:01:30.204000,9.0,0,2023,Japanese Grand Prix
VER,0 days 00:01:39.060160,3.0,2,0 days 00:01:28.877000,1.0,1,2023,Japanese Grand Prix
ZHO,0 days 00:01:41.666183673,4.0,3,0 days 00:01:31.379000,19.0,0,2023,Japanese Grand Prix
