Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:38.378100,4.0,3,0 days 00:01:41.598000,7.0,0,2022,British Grand Prix
BOT,0 days 00:01:41.372315789,2.0,2,0 days 00:01:41.396000,12.0,0,2022,British Grand Prix
GAS,0 days 00:01:40.909480,3.0,3,0 days 00:01:41.680000,11.0,0,2022,British Grand Prix
HAM,0 days 00:01:35.492125,4.0,3,0 days 00:01:40.428000,5.0,0,2022,British Grand Prix
LAT,0 days 00:01:40.089725490,4.0,3,0 days 00:01:41.998000,10.0,0,2022,British Grand Prix
LEC,0 days 00:01:35.701354166,3.0,2,0 days 00:01:39.846000,3.0,0,2022,British Grand Prix
MAG,0 days 00:01:38.852440,3.0,2,0 days 00:01:42.159000,17.0,0,2022,British Grand Prix
MSC,0 days 00:01:38.782280,4.0,3,0 days 00:01:42.708000,19.0,0,2022,British Grand Prix
NOR,0 days 00:01:37.425673469,4.0,3,0 days 00:01:41.515000,6.0,0,2022,British Grand Prix
OCO,0 days 00:01:41.551083333,3.0,2,0 days 00:01:41.730000,15.0,0,2022,British Grand Prix
PER,0 days 00:01:37.309530612,4.0,3,0 days 00:01:40.521000,4.0,0,2022,British Grand Prix
RIC,0 days 00:01:38.921480,5.0,4,0 days 00:01:41.933000,14.0,0,2022,British Grand Prix
SAI,0 days 00:01:34.322808510,4.0,3,0 days 00:01:40.190000,1.0,1,2022,British Grand Prix
STR,0 days 00:01:39.869745098,4.0,3,0 days 00:01:43.430000,20.0,0,2022,British Grand Prix
TSU,0 days 00:01:41.231607843,4.0,3,0 days 00:01:41.893000,13.0,0,2022,British Grand Prix
VER,0 days 00:01:37.747020408,5.0,4,0 days 00:01:39.129000,2.0,0,2022,British Grand Prix
VET,0 days 00:01:38.756740,4.0,3,0 days 00:01:42.666000,18.0,0,2022,British Grand Prix
