Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:56.506357142,3.0,2,0 days 00:01:45.672000,6.0,0,2022,Belgian Grand Prix
ALO,0 days 00:01:55.717500,3.0,2,0 days 00:01:45.368000,3.0,0,2022,Belgian Grand Prix
BOT,0 days 00:02:05.651000,1.0,0,0 days 00:01:47.866000,13.0,0,2022,Belgian Grand Prix
GAS,0 days 00:01:55.729780487,3.0,2,0 days 00:01:45.827000,0.0,0,2022,Belgian Grand Prix
LAT,0 days 00:01:56.503675,4.0,3,0 days 00:01:46.401000,11.0,0,2022,Belgian Grand Prix
LEC,0 days 00:01:55.698238095,4.0,3,0 days 00:01:44.551000,15.0,0,2022,Belgian Grand Prix
MAG,0 days 00:01:56.969219512,3.0,2,0 days 00:01:46.557000,12.0,0,2022,Belgian Grand Prix
MSC,0 days 00:01:57.157390243,3.0,2,0 days 00:01:46.342000,19.0,0,2022,Belgian Grand Prix
NOR,0 days 00:01:56.726880952,3.0,2,0 days 00:01:45.603000,17.0,0,2022,Belgian Grand Prix
OCO,0 days 00:01:55.987476190,3.0,2,0 days 00:01:45.180000,16.0,0,2022,Belgian Grand Prix
PER,0 days 00:01:54.245571428,3.0,2,0 days 00:01:44.462000,2.0,0,2022,Belgian Grand Prix
RIC,0 days 00:01:56.618333333,3.0,2,0 days 00:01:45.767000,7.0,0,2022,Belgian Grand Prix
RUS,0 days 00:01:54.594833333,3.0,2,0 days 00:01:45.461000,5.0,0,2022,Belgian Grand Prix
SAI,0 days 00:01:54.390976190,3.0,2,0 days 00:01:44.297000,1.0,0,2022,Belgian Grand Prix
STR,0 days 00:01:56.622547619,3.0,2,0 days 00:01:46.256000,9.0,0,2022,Belgian Grand Prix
TSU,0 days 00:01:56.853404761,3.0,2,0 days 00:01:46.692000,0.0,0,2022,Belgian Grand Prix
VER,0 days 00:01:54.104500,3.0,2,0 days 00:01:43.665000,14.0,1,2022,Belgian Grand Prix
VET,0 days 00:01:55.896857142,3.0,2,0 days 00:01:46.344000,10.0,0,2022,Belgian Grand Prix
ZHO,0 days 00:01:56.796000,3.0,2,0 days 00:01:46.085000,18.0,0,2022,Belgian Grand Prix
