Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:25.166171428,2.0,1,0 days 00:01:20.859000,17.0,0,2022,Mexico City Grand Prix
ALO,0 days 00:01:24.921650793,2.0,1,0 days 00:01:18.939000,9.0,0,2022,Mexico City Grand Prix
BOT,0 days 00:01:25.130114285,2.0,1,0 days 00:01:18.401000,6.0,0,2022,Mexico City Grand Prix
GAS,0 days 00:01:25.139042857,2.0,1,0 days 00:01:19.672000,14.0,0,2022,Mexico City Grand Prix
HAM,0 days 00:01:23.548098591,2.0,1,0 days 00:01:18.084000,3.0,0,2022,Mexico City Grand Prix
LAT,0 days 00:01:26.545681159,3.0,2,0 days 00:01:21.167000,18.0,0,2022,Mexico City Grand Prix
LEC,0 days 00:01:24.302859154,2.0,1,0 days 00:01:18.555000,7.0,0,2022,Mexico City Grand Prix
MAG,0 days 00:01:25.673500,2.0,1,0 days 00:01:19.833000,19.0,0,2022,Mexico City Grand Prix
MSC,0 days 00:01:25.651614285,2.0,1,0 days 00:01:19.695000,15.0,0,2022,Mexico City Grand Prix
NOR,0 days 00:01:25.081757142,2.0,1,0 days 00:01:18.721000,8.0,0,2022,Mexico City Grand Prix
OCO,0 days 00:01:25.020828571,2.0,1,0 days 00:01:19.010000,10.0,0,2022,Mexico City Grand Prix
PER,0 days 00:01:23.589098591,2.0,1,0 days 00:01:18.128000,4.0,0,2022,Mexico City Grand Prix
RIC,0 days 00:01:24.846657142,2.0,1,0 days 00:01:19.325000,11.0,0,2022,Mexico City Grand Prix
RUS,0 days 00:01:24.030422535,3.0,2,0 days 00:01:18.079000,2.0,0,2022,Mexico City Grand Prix
SAI,0 days 00:01:24.152845070,2.0,1,0 days 00:01:18.351000,5.0,0,2022,Mexico City Grand Prix
STR,0 days 00:01:25.524028571,3.0,2,0 days 00:01:20.520000,20.0,0,2022,Mexico City Grand Prix
TSU,0 days 00:01:25.627000,2.0,2,0 days 00:01:19.589000,13.0,0,2022,Mexico City Grand Prix
VER,0 days 00:01:23.334211267,2.0,1,0 days 00:01:17.775000,1.0,1,2022,Mexico City Grand Prix
VET,0 days 00:01:25.374671428,2.0,1,0 days 00:01:20.419000,16.0,0,2022,Mexico City Grand Prix
ZHO,0 days 00:01:25.325157142,2.0,1,0 days 00:01:19.476000,12.0,0,2022,Mexico City Grand Prix
