Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:12.079814285,2.0,1,0 days 00:01:04.472000,14.0,0,2021,Austrian Grand Prix
BOT,0 days 00:01:11.162197183,2.0,1,0 days 00:01:04.049000,5.0,0,2021,Austrian Grand Prix
GAS,0 days 00:01:11.780098591,3.0,2,0 days 00:01:04.107000,6.0,0,2021,Austrian Grand Prix
GIO,0 days 00:01:12.450871428,3.0,2,0 days 00:01:04.777000,15.0,0,2021,Austrian Grand Prix
HAM,0 days 00:01:11.563309859,3.0,2,0 days 00:01:04.014000,4.0,0,2021,Austrian Grand Prix
LAT,0 days 00:01:12.540628571,2.0,1,0 days 00:01:05.195000,18.0,0,2021,Austrian Grand Prix
LEC,0 days 00:01:11.770957746,2.0,1,0 days 00:01:04.600000,12.0,0,2021,Austrian Grand Prix
MAZ,0 days 00:01:13.790971014,3.0,2,0 days 00:01:05.951000,20.0,0,2021,Austrian Grand Prix
MSC,0 days 00:01:13.050826086,2.0,1,0 days 00:01:05.427000,19.0,0,2021,Austrian Grand Prix
NOR,0 days 00:01:11.191014084,2.0,1,0 days 00:01:03.768000,2.0,0,2021,Austrian Grand Prix
PER,0 days 00:01:11.583915492,2.0,1,0 days 00:01:03.990000,3.0,0,2021,Austrian Grand Prix
RAI,0 days 00:01:12.563400,2.0,1,0 days 00:01:05.009000,16.0,0,2021,Austrian Grand Prix
RIC,0 days 00:01:11.759690140,2.0,1,0 days 00:01:04.719000,13.0,0,2021,Austrian Grand Prix
RUS,0 days 00:01:12.160271428,2.0,1,0 days 00:01:04.553000,8.0,0,2021,Austrian Grand Prix
SAI,0 days 00:01:11.713901408,2.0,1,0 days 00:01:04.559000,10.0,0,2021,Austrian Grand Prix
STR,0 days 00:01:12.337428571,3.0,2,0 days 00:01:04.547000,9.0,0,2021,Austrian Grand Prix
TSU,0 days 00:01:12.242314285,3.0,2,0 days 00:01:04.273000,7.0,0,2021,Austrian Grand Prix
VER,0 days 00:01:10.909056338,3.0,2,0 days 00:01:03.720000,1.0,1,2021,Austrian Grand Prix
VET,0 days 00:01:12.204159420,3.0,3,0 days 00:01:04.493000,11.0,0,2021,Austrian Grand Prix
