Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:41.625627906,5.0,4,0 days 00:01:28.920000,13.0,0,2021,Saudi Arabian Grand Prix
BOT,0 days 00:01:39.272250,4.0,3,0 days 00:01:27.622000,2.0,0,2021,Saudi Arabian Grand Prix
GAS,0 days 00:01:39.935977272,3.0,2,0 days 00:01:28.125000,6.0,0,2021,Saudi Arabian Grand Prix
GIO,0 days 00:01:40.357977272,3.0,2,0 days 00:01:28.616000,10.0,0,2021,Saudi Arabian Grand Prix
HAM,0 days 00:01:37.348116279,4.0,3,0 days 00:01:27.511000,1.0,1,2021,Saudi Arabian Grand Prix
LAT,0 days 00:01:40.909909090,4.0,3,0 days 00:01:29.177000,16.0,0,2021,Saudi Arabian Grand Prix
LEC,0 days 00:01:39.611454545,4.0,3,0 days 00:01:28.054000,4.0,0,2021,Saudi Arabian Grand Prix
MAZ,0 days 00:01:46.723818181,2.0,1,0 days 00:01:30.473000,20.0,0,2021,Saudi Arabian Grand Prix
MSC,0 days 00:01:38.543000,1.0,0,0 days 00:01:29.464000,19.0,0,2021,Saudi Arabian Grand Prix
NOR,0 days 00:01:39.675727272,4.0,3,0 days 00:01:28.180000,7.0,0,2021,Saudi Arabian Grand Prix
OCO,0 days 00:01:38.570279069,3.0,2,0 days 00:01:28.574000,9.0,0,2021,Saudi Arabian Grand Prix
PER,0 days 00:01:38.137100,3.0,2,0 days 00:01:27.946000,5.0,0,2021,Saudi Arabian Grand Prix
RAI,0 days 00:01:42.100186046,4.0,3,0 days 00:01:28.856000,12.0,0,2021,Saudi Arabian Grand Prix
RIC,0 days 00:01:38.839976744,3.0,2,0 days 00:01:28.216000,11.0,0,2021,Saudi Arabian Grand Prix
RUS,0 days 00:01:46.907818181,3.0,2,0 days 00:01:28.926000,14.0,0,2021,Saudi Arabian Grand Prix
SAI,0 days 00:01:40.036909090,3.0,2,0 days 00:01:28.237000,15.0,0,2021,Saudi Arabian Grand Prix
STR,0 days 00:01:42.078022222,4.0,3,0 days 00:01:29.368000,18.0,0,2021,Saudi Arabian Grand Prix
TSU,0 days 00:01:40.093523809,4.0,3,0 days 00:01:28.222000,8.0,0,2021,Saudi Arabian Grand Prix
VER,0 days 00:01:37.683488372,3.0,2,0 days 00:01:27.653000,3.0,0,2021,Saudi Arabian Grand Prix
VET,0 days 00:01:42.679342105,3.0,3,0 days 00:01:29.198000,17.0,0,2021,Saudi Arabian Grand Prix
