Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:30.815736842,2.0,1,0 days 00:01:22.636000,13.0,0,2019,Australian Grand Prix
BOT,0 days 00:01:28.402155172,2.0,1,0 days 00:01:20.598000,2.0,1,2019,Australian Grand Prix
GAS,0 days 00:01:30.096403508,2.0,1,0 days 00:01:23.020000,17.0,0,2019,Australian Grand Prix
GIO,0 days 00:01:31.190561403,2.0,1,0 days 00:01:22.431000,14.0,0,2019,Australian Grand Prix
GRO,0 days 00:01:31.720758620,2.0,1,0 days 00:01:21.826000,6.0,0,2019,Australian Grand Prix
HAM,0 days 00:01:28.762258620,2.0,1,0 days 00:01:20.486000,1.0,0,2019,Australian Grand Prix
HUL,0 days 00:01:30.044280701,2.0,1,0 days 00:01:22.540000,11.0,0,2019,Australian Grand Prix
KUB,0 days 00:01:34.167472727,4.0,3,0 days 00:01:26.067000,20.0,0,2019,Australian Grand Prix
KVY,0 days 00:01:30.090526315,2.0,1,0 days 00:01:22.511000,15.0,0,2019,Australian Grand Prix
LEC,0 days 00:01:29.406120689,2.0,1,0 days 00:01:21.442000,5.0,0,2019,Australian Grand Prix
MAG,0 days 00:01:29.904844827,2.0,1,0 days 00:01:22.099000,7.0,0,2019,Australian Grand Prix
NOR,0 days 00:01:30.794017543,2.0,1,0 days 00:01:22.304000,8.0,0,2019,Australian Grand Prix
PER,0 days 00:01:30.803315789,2.0,1,0 days 00:01:22.532000,10.0,0,2019,Australian Grand Prix
RAI,0 days 00:01:30.065070175,2.0,1,0 days 00:01:22.314000,9.0,0,2019,Australian Grand Prix
RIC,0 days 00:01:32.832928571,2.0,2,0 days 00:01:22.570000,12.0,0,2019,Australian Grand Prix
RUS,0 days 00:01:32.446517857,3.0,2,0 days 00:01:24.360000,19.0,0,2019,Australian Grand Prix
SAI,0 days 00:01:32.770333333,1.0,0,0 days 00:01:23.084000,18.0,0,2019,Australian Grand Prix
STR,0 days 00:01:30.078263157,2.0,1,0 days 00:01:23.017000,16.0,0,2019,Australian Grand Prix
VER,0 days 00:01:28.790431034,2.0,1,0 days 00:01:21.320000,4.0,0,2019,Australian Grand Prix
VET,0 days 00:01:29.386793103,2.0,1,0 days 00:01:21.190000,3.0,0,2019,Australian Grand Prix
