Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:24.370279411,4.0,3,0 days 00:01:16.541000,9.0,0,2021,Hungarian Grand Prix
GAS,0 days 00:01:25.142029411,5.0,4,0 days 00:01:16.394000,5.0,0,2021,Hungarian Grand Prix
GIO,0 days 00:01:26.393522388,6.0,5,0 days 00:01:17.583000,0.0,0,2021,Hungarian Grand Prix
HAM,0 days 00:01:23.971205882,5.0,4,0 days 00:01:15.419000,1.0,0,2021,Hungarian Grand Prix
LAT,0 days 00:01:25.355367647,4.0,3,0 days 00:01:18.036000,18.0,0,2021,Hungarian Grand Prix
MAZ,0 days 00:02:17.794000,3.0,3,0 days 00:01:18.922000,19.0,0,2021,Hungarian Grand Prix
NOR,0 days 00:02:22.425000,2.0,2,0 days 00:01:16.385000,6.0,0,2021,Hungarian Grand Prix
OCO,0 days 00:01:24.157294117,4.0,3,0 days 00:01:16.653000,8.0,1,2021,Hungarian Grand Prix
RAI,0 days 00:01:25.673761194,5.0,4,0 days 00:01:17.553000,13.0,0,2021,Hungarian Grand Prix
RIC,0 days 00:01:25.990716417,4.0,3,0 days 00:01:16.871000,11.0,0,2021,Hungarian Grand Prix
RUS,0 days 00:01:25.319897058,4.0,3,0 days 00:01:17.944000,17.0,0,2021,Hungarian Grand Prix
SAI,0 days 00:01:24.407117647,4.0,3,0 days 00:01:16.649000,15.0,0,2021,Hungarian Grand Prix
TSU,0 days 00:01:25.318647058,4.0,3,0 days 00:01:17.919000,16.0,0,2021,Hungarian Grand Prix
VER,0 days 00:01:25.297205882,6.0,5,0 days 00:01:15.650000,3.0,0,2021,Hungarian Grand Prix
VET,0 days 00:01:24.201411764,4.0,3,0 days 00:01:16.750000,10.0,0,2021,Hungarian Grand Prix
