Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:38.746461538,2.0,1,0 days 00:01:27.530000,8.0,0,2023,British Grand Prix
ALO,0 days 00:01:38.733288461,2.0,1,0 days 00:01:27.659000,9.0,0,2023,British Grand Prix
BOT,0 days 00:01:38.899384615,2.0,1,0 days 00:01:29.798000,20.0,0,2023,British Grand Prix
DEV,0 days 00:01:39.039730769,3.0,2,0 days 00:01:30.513000,18.0,0,2023,British Grand Prix
GAS,0 days 00:01:39.991288888,2.0,2,0 days 00:01:27.689000,10.0,0,2023,British Grand Prix
HAM,0 days 00:01:37.489686274,2.0,1,0 days 00:01:27.211000,7.0,0,2023,British Grand Prix
HUL,0 days 00:01:38.915403846,3.0,2,0 days 00:01:28.896000,11.0,0,2023,British Grand Prix
LEC,0 days 00:01:38.762057692,3.0,2,0 days 00:01:27.136000,4.0,0,2023,British Grand Prix
MAG,0 days 00:01:34.706612903,1.0,0,0 days 00:01:32.378000,19.0,0,2023,British Grand Prix
NOR,0 days 00:01:37.163431372,2.0,1,0 days 00:01:26.961000,2.0,0,2023,British Grand Prix
OCO,0 days 00:01:35.150111111,1.0,1,0 days 00:01:28.956000,13.0,0,2023,British Grand Prix
PER,0 days 00:01:38.650384615,2.0,1,0 days 00:01:29.968000,15.0,0,2023,British Grand Prix
PIA,0 days 00:01:38.552192307,2.0,1,0 days 00:01:27.092000,3.0,0,2023,British Grand Prix
RUS,0 days 00:01:38.618153846,2.0,1,0 days 00:01:27.155000,6.0,0,2023,British Grand Prix
SAI,0 days 00:01:38.776653846,2.0,1,0 days 00:01:27.148000,5.0,0,2023,British Grand Prix
SAR,0 days 00:01:38.857115384,2.0,1,0 days 00:01:29.031000,14.0,0,2023,British Grand Prix
STR,0 days 00:01:38.835019230,2.0,1,0 days 00:01:28.935000,12.0,0,2023,British Grand Prix
TSU,0 days 00:01:39.003134615,3.0,2,0 days 00:01:30.025000,16.0,0,2023,British Grand Prix
VER,0 days 00:01:36.832686274,2.0,1,0 days 00:01:26.720000,1.0,1,2023,British Grand Prix
ZHO,0 days 00:01:38.976115384,4.0,3,0 days 00:01:30.123000,17.0,0,2023,British Grand Prix
