Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:25.307815384,3.0,2,0 days 00:01:17.029000,6.0,0,2020,Spanish Grand Prix
BOT,0 days 00:01:24.091378787,4.0,3,0 days 00:01:15.643000,2.0,0,2020,Spanish Grand Prix
GAS,0 days 00:01:25.316876923,3.0,2,0 days 00:01:16.800000,10.0,0,2020,Spanish Grand Prix
GIO,0 days 00:01:25.770292307,3.0,2,0 days 00:01:18.697000,20.0,0,2020,Spanish Grand Prix
GRO,0 days 00:01:26.483562500,3.0,2,0 days 00:01:18.089000,17.0,0,2020,Spanish Grand Prix
HAM,0 days 00:01:23.413318181,3.0,2,0 days 00:01:15.584000,1.0,1,2020,Spanish Grand Prix
KVY,0 days 00:01:25.353815384,3.0,2,0 days 00:01:17.192000,12.0,0,2020,Spanish Grand Prix
LAT,0 days 00:01:26.051515625,3.0,2,0 days 00:01:18.532000,19.0,0,2020,Spanish Grand Prix
LEC,0 days 00:01:27.674631578,2.0,2,0 days 00:01:16.953000,9.0,0,2020,Spanish Grand Prix
MAG,0 days 00:01:25.759538461,2.0,1,0 days 00:01:17.908000,16.0,0,2020,Spanish Grand Prix
NOR,0 days 00:01:25.325446153,3.0,2,0 days 00:01:17.084000,8.0,0,2020,Spanish Grand Prix
OCO,0 days 00:01:25.557030769,2.0,1,0 days 00:01:17.567000,15.0,0,2020,Spanish Grand Prix
PER,0 days 00:01:24.991753846,2.0,1,0 days 00:01:16.482000,4.0,0,2020,Spanish Grand Prix
RAI,0 days 00:01:25.641261538,3.0,2,0 days 00:01:17.386000,14.0,0,2020,Spanish Grand Prix
RIC,0 days 00:01:25.340692307,2.0,1,0 days 00:01:17.198000,13.0,0,2020,Spanish Grand Prix
RUS,0 days 00:01:25.917784615,3.0,2,0 days 00:01:18.099000,18.0,0,2020,Spanish Grand Prix
SAI,0 days 00:01:25.093000,3.0,2,0 days 00:01:16.876000,7.0,0,2020,Spanish Grand Prix
STR,0 days 00:01:25.026523076,3.0,2,0 days 00:01:16.589000,5.0,0,2020,Spanish Grand Prix
VER,0 days 00:01:23.779636363,3.0,2,0 days 00:01:16.292000,3.0,0,2020,Spanish Grand Prix
VET,0 days 00:01:25.289430769,2.0,1,0 days 00:01:17.168000,11.0,0,2020,Spanish Grand Prix
