Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:27.049138461,3.0,2,0 days 00:01:17.966000,10.0,0,2021,Spanish Grand Prix
BOT,0 days 00:01:25.065000,3.0,2,0 days 00:01:16.873000,3.0,0,2021,Spanish Grand Prix
GAS,0 days 00:01:26.560476923,3.0,2,0 days 00:01:17.982000,12.0,0,2021,Spanish Grand Prix
GIO,0 days 00:01:25.737015625,3.0,2,0 days 00:01:18.356000,14.0,0,2021,Spanish Grand Prix
HAM,0 days 00:01:24.661818181,3.0,2,0 days 00:01:16.741000,1.0,1,2021,Spanish Grand Prix
LAT,0 days 00:01:27.044184615,4.0,3,0 days 00:01:19.219000,19.0,0,2021,Spanish Grand Prix
LEC,0 days 00:01:25.489333333,3.0,2,0 days 00:01:17.510000,4.0,0,2021,Spanish Grand Prix
MAZ,0 days 00:01:28.144593750,3.0,2,0 days 00:01:19.807000,20.0,0,2021,Spanish Grand Prix
MSC,0 days 00:01:27.365500,3.0,2,0 days 00:01:19.117000,18.0,0,2021,Spanish Grand Prix
NOR,0 days 00:01:26.342538461,3.0,2,0 days 00:01:17.696000,9.0,0,2021,Spanish Grand Prix
OCO,0 days 00:01:26.557553846,2.0,1,0 days 00:01:17.580000,5.0,0,2021,Spanish Grand Prix
PER,0 days 00:01:25.626530303,3.0,2,0 days 00:01:17.669000,8.0,0,2021,Spanish Grand Prix
RAI,0 days 00:01:26.658861538,2.0,1,0 days 00:01:18.917000,17.0,0,2021,Spanish Grand Prix
RIC,0 days 00:01:25.779515151,3.0,2,0 days 00:01:17.622000,7.0,0,2021,Spanish Grand Prix
RUS,0 days 00:01:26.868492307,3.0,2,0 days 00:01:18.445000,15.0,0,2021,Spanish Grand Prix
SAI,0 days 00:01:25.793181818,3.0,2,0 days 00:01:17.620000,6.0,0,2021,Spanish Grand Prix
STR,0 days 00:01:26.641030769,3.0,2,0 days 00:01:17.974000,11.0,0,2021,Spanish Grand Prix
TSU,0 days 00:01:28.196500,1.0,0,0 days 00:01:18.556000,16.0,0,2021,Spanish Grand Prix
VER,0 days 00:01:24.901833333,3.0,2,0 days 00:01:16.777000,2.0,0,2021,Spanish Grand Prix
VET,0 days 00:01:26.723784615,3.0,2,0 days 00:01:18.079000,13.0,0,2021,Spanish Grand Prix
