Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:36.670744680,3.0,2,0 days 00:01:26.545000,12.0,0,2020,British Grand Prix
BOT,0 days 00:01:35.467608695,3.0,2,0 days 00:01:24.616000,2.0,0,2020,British Grand Prix
GAS,0 days 00:01:37.787000,2.0,1,0 days 00:01:26.343000,11.0,0,2020,British Grand Prix
GIO,0 days 00:01:38.155083333,2.0,1,0 days 00:01:27.164000,15.0,0,2020,British Grand Prix
GRO,0 days 00:01:37.196489361,2.0,1,0 days 00:01:27.317000,17.0,0,2020,British Grand Prix
HAM,0 days 00:01:34.481413043,2.0,1,0 days 00:01:24.303000,1.0,1,2020,British Grand Prix
KVY,0 days 00:01:47.756300,1.0,0,0 days 00:01:26.744000,19.0,0,2020,British Grand Prix
LAT,0 days 00:01:37.137382978,2.0,1,0 days 00:01:27.705000,18.0,0,2020,British Grand Prix
LEC,0 days 00:01:36.416021276,2.0,1,0 days 00:01:25.427000,4.0,0,2020,British Grand Prix
MAG,0 days 00:01:43.754000,1.0,0,0 days 00:01:27.158000,14.0,0,2020,British Grand Prix
NOR,0 days 00:01:37.611104166,2.0,1,0 days 00:01:25.782000,5.0,0,2020,British Grand Prix
OCO,0 days 00:01:37.676270833,2.0,1,0 days 00:01:26.209000,9.0,0,2020,British Grand Prix
RAI,0 days 00:01:37.762355555,3.0,2,0 days 00:01:27.366000,16.0,0,2020,British Grand Prix
RIC,0 days 00:01:37.541708333,2.0,1,0 days 00:01:26.009000,8.0,0,2020,British Grand Prix
RUS,0 days 00:01:37.071531914,2.0,1,0 days 00:01:26.732000,20.0,0,2020,British Grand Prix
SAI,0 days 00:01:38.253645833,3.0,2,0 days 00:01:25.965000,7.0,0,2020,British Grand Prix
STR,0 days 00:01:37.905125,2.0,1,0 days 00:01:25.839000,6.0,0,2020,British Grand Prix
VER,0 days 00:01:34.770195652,3.0,2,0 days 00:01:25.325000,3.0,0,2020,British Grand Prix
VET,0 days 00:01:37.998395833,2.0,1,0 days 00:01:26.077000,10.0,0,2020,British Grand Prix
