Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:16.772732394,2.0,1,0 days 00:01:09.956000,9.0,0,2021,Dutch Grand Prix
BOT,0 days 00:01:15.859097222,3.0,2,0 days 00:01:09.222000,3.0,0,2021,Dutch Grand Prix
GAS,0 days 00:01:16.298352112,2.0,1,0 days 00:01:09.478000,4.0,0,2021,Dutch Grand Prix
GIO,0 days 00:01:17.616742857,3.0,2,0 days 00:01:09.590000,7.0,0,2021,Dutch Grand Prix
HAM,0 days 00:01:15.365652777,4.0,3,0 days 00:01:08.923000,2.0,0,2021,Dutch Grand Prix
KUB,0 days 00:01:18.083614285,2.0,1,0 days 00:01:11.301000,16.0,0,2021,Dutch Grand Prix
LAT,0 days 00:01:18.110642857,2.0,1,0 days 00:01:10.093000,0.0,0,2021,Dutch Grand Prix
LEC,0 days 00:01:16.368661971,2.0,1,0 days 00:01:09.437000,5.0,0,2021,Dutch Grand Prix
MAZ,0 days 00:01:19.203707317,2.0,2,0 days 00:01:11.875000,18.0,0,2021,Dutch Grand Prix
MSC,0 days 00:01:19.249217391,3.0,2,0 days 00:01:11.387000,17.0,0,2021,Dutch Grand Prix
NOR,0 days 00:01:16.869366197,2.0,1,0 days 00:01:10.406000,13.0,0,2021,Dutch Grand Prix
OCO,0 days 00:01:16.823450704,2.0,1,0 days 00:01:09.919000,8.0,0,2021,Dutch Grand Prix
PER,0 days 00:01:16.809563380,3.0,2,0 days 00:01:10.530000,0.0,0,2021,Dutch Grand Prix
RIC,0 days 00:01:17.046788732,2.0,1,0 days 00:01:09.865000,10.0,0,2021,Dutch Grand Prix
RUS,0 days 00:01:18.192014492,3.0,3,0 days 00:01:10.332000,11.0,0,2021,Dutch Grand Prix
SAI,0 days 00:01:16.801352112,2.0,1,0 days 00:01:09.537000,6.0,0,2021,Dutch Grand Prix
STR,0 days 00:01:17.467385714,2.0,1,0 days 00:01:10.367000,12.0,0,2021,Dutch Grand Prix
TSU,0 days 00:01:18.264125,2.0,2,0 days 00:01:10.462000,14.0,0,2021,Dutch Grand Prix
VER,0 days 00:01:15.074930555,3.0,2,0 days 00:01:08.885000,1.0,1,2021,Dutch Grand Prix
VET,0 days 00:01:17.499157142,3.0,2,0 days 00:01:10.731000,15.0,0,2021,Dutch Grand Prix
