Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:36.946789473,3.0,2,0 days 00:01:28.343000,14.0,0,2024,Miami Grand Prix
ALO,0 days 00:01:36.262859649,2.0,1,0 days 00:01:28.427000,15.0,0,2024,Miami Grand Prix
BOT,0 days 00:01:36.530385964,3.0,2,0 days 00:01:28.463000,16.0,0,2024,Miami Grand Prix
GAS,0 days 00:01:36.400596491,2.0,1,0 days 00:01:27.976000,12.0,0,2024,Miami Grand Prix
HAM,0 days 00:01:35.902824561,2.0,1,0 days 00:01:27.697000,8.0,0,2024,Miami Grand Prix
HUL,0 days 00:01:36.327456140,3.0,2,0 days 00:01:28.146000,9.0,0,2024,Miami Grand Prix
LEC,0 days 00:01:34.780892857,2.0,1,0 days 00:01:27.382000,2.0,0,2024,Miami Grand Prix
MAG,0 days 00:01:36.571210526,4.0,3,0 days 00:01:28.619000,18.0,0,2024,Miami Grand Prix
NOR,0 days 00:01:34.522071428,2.0,1,0 days 00:01:27.594000,5.0,1,2024,Miami Grand Prix
OCO,0 days 00:01:36.309157894,2.0,1,0 days 00:01:28.209000,13.0,0,2024,Miami Grand Prix
PER,0 days 00:01:35.868877192,3.0,2,0 days 00:01:27.460000,4.0,0,2024,Miami Grand Prix
PIA,0 days 00:01:35.521267857,3.0,2,0 days 00:01:27.675000,6.0,0,2024,Miami Grand Prix
RIC,0 days 00:01:36.505824561,2.0,1,0 days 00:01:28.617000,20.0,0,2024,Miami Grand Prix
RUS,0 days 00:01:36.222192982,2.0,1,0 days 00:01:28.067000,7.0,0,2024,Miami Grand Prix
SAI,0 days 00:01:35.811982456,2.0,1,0 days 00:01:27.455000,3.0,0,2024,Miami Grand Prix
SAR,0 days 00:01:35.686666666,2.0,1,0 days 00:01:28.487000,17.0,0,2024,Miami Grand Prix
STR,0 days 00:01:36.404368421,3.0,2,0 days 00:01:28.177000,11.0,0,2024,Miami Grand Prix
TSU,0 days 00:01:36.071245614,2.0,1,0 days 00:01:28.167000,10.0,0,2024,Miami Grand Prix
VER,0 days 00:01:34.686696428,2.0,1,0 days 00:01:27.241000,1.0,0,2024,Miami Grand Prix
ZHO,0 days 00:01:36.488684210,2.0,1,0 days 00:01:28.824000,19.0,0,2024,Miami Grand Prix
