Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:40.944320,2.0,2,0 days 00:01:29.994000,17.0,0,2023,Saudi Arabian Grand Prix
ALO,0 days 00:01:34.835875,2.0,1,0 days 00:01:28.730000,2.0,0,2023,Saudi Arabian Grand Prix
BOT,0 days 00:01:39.027666666,4.0,3,0 days 00:01:29.668000,14.0,0,2023,Saudi Arabian Grand Prix
DEV,0 days 00:01:39.047440,2.0,1,0 days 00:01:30.244000,18.0,0,2023,Saudi Arabian Grand Prix
GAS,0 days 00:01:37.530795918,2.0,1,0 days 00:01:29.357000,9.0,0,2023,Saudi Arabian Grand Prix
HAM,0 days 00:01:35.643625,2.0,1,0 days 00:01:29.223000,7.0,0,2023,Saudi Arabian Grand Prix
HUL,0 days 00:01:38.909640,2.0,1,0 days 00:01:29.451000,10.0,0,2023,Saudi Arabian Grand Prix
LEC,0 days 00:01:37.243000,2.0,1,0 days 00:01:28.420000,12.0,0,2023,Saudi Arabian Grand Prix
MAG,0 days 00:01:38.794400,2.0,1,0 days 00:01:29.517000,13.0,0,2023,Saudi Arabian Grand Prix
NOR,0 days 00:01:39.226780,3.0,2,0 days 00:01:30.447000,19.0,0,2023,Saudi Arabian Grand Prix
OCO,0 days 00:01:37.465346938,2.0,1,0 days 00:01:29.078000,6.0,0,2023,Saudi Arabian Grand Prix
PER,0 days 00:01:34.245020833,2.0,1,0 days 00:01:28.265000,1.0,1,2023,Saudi Arabian Grand Prix
PIA,0 days 00:01:39.198300,2.0,1,0 days 00:01:29.243000,8.0,0,2023,Saudi Arabian Grand Prix
RUS,0 days 00:01:35.160354166,2.0,1,0 days 00:01:28.857000,3.0,0,2023,Saudi Arabian Grand Prix
SAI,0 days 00:01:37.046387755,2.0,1,0 days 00:01:28.931000,4.0,0,2023,Saudi Arabian Grand Prix
SAR,0 days 00:01:39.223740,2.0,1,0 days 00:01:29.721000,20.0,0,2023,Saudi Arabian Grand Prix
STR,0 days 00:01:37.324000,2.0,1,0 days 00:01:28.945000,5.0,0,2023,Saudi Arabian Grand Prix
TSU,0 days 00:01:37.754836734,2.0,1,0 days 00:01:29.939000,16.0,0,2023,Saudi Arabian Grand Prix
VER,0 days 00:01:34.926645833,2.0,1,0 days 00:01:28.761000,15.0,0,2023,Saudi Arabian Grand Prix
ZHO,0 days 00:01:39.019080,3.0,2,0 days 00:01:29.461000,11.0,0,2023,Saudi Arabian Grand Prix
